text,x_min,y_min,x_max,y_max,width,height,label,stem,x_norm,y_norm,x_center_norm,y_center_norm,width_norm,height_norm
3,22,1436,43,1472,21,36,B-ADDRESS,X51005444037,0.0313,0.5728,0.0462,0.58,0.0299,0.0144
1/4 CHIC+ 1SD-T @ 17.90,95,1437,460,1473,365,36,O,X51005444037,0.1351,0.5732,0.3947,0.5804,0.5192,0.0144
53.70 S,551,1438,669,1473,118,35,O,X51005444037,0.7838,0.5736,0.8677,0.5806,0.1679,0.014
3,22,1483,44,1514,22,31,B-ADDRESS,X51005444037,0.0313,0.5915,0.0469,0.5977,0.0313,0.0124
1/4-M,112,1479,194,1517,82,38,O,X51005444037,0.1593,0.5899,0.2176,0.5975,0.1166,0.0152
S,650,1485,670,1517,20,32,O,X51005444037,0.9246,0.5923,0.9388,0.5987,0.0284,0.0128
3,22,1525,44,1555,22,30,B-ADDRESS,X51005444037,0.0313,0.6083,0.0469,0.6143,0.0313,0.012
COLES LAW(R)-TC,106,1524,349,1559,243,35,O,X51005444037,0.1508,0.6079,0.3236,0.6149,0.3457,0.014
S,651,1527,671,1558,20,31,O,X51005444037,0.926,0.6091,0.9403,0.6153,0.0284,0.0124
SUB TOTAL,71,1605,226,1644,155,39,O,X51005444037,0.101,0.6402,0.2112,0.648,0.2205,0.0156
129.30,538,1611,634,1644,96,33,O,X51005444037,0.7653,0.6426,0.8336,0.6492,0.1366,0.0132
AMT DUE,71,1650,311,1713,240,63,O,X51005444037,0.101,0.6582,0.2717,0.6707,0.3414,0.0251
129.30,421,1650,617,1720,196,70,B-TOTAL,X51005444037,0.5989,0.6582,0.7383,0.6721,0.2788,0.0279
GST @6%,71,1715,199,1754,128,39,O,X51005444037,0.101,0.6841,0.192,0.6919,0.1821,0.0156
7.30,567,1721,635,1754,68,33,O,X51005444037,0.8065,0.6865,0.8549,0.6931,0.0967,0.0132
HOW WAS IT FOR YOU?,194,1803,515,1841,321,38,O,X51005444037,0.276,0.7192,0.5043,0.7268,0.4566,0.0152
"YOUR FEEDBACK IS IMPORTANT,",129,1846,584,1885,455,39,O,X51005444037,0.1835,0.7363,0.5071,0.7441,0.6472,0.0156
SO PLEASE COMPLETE OUR,174,1887,556,1924,382,37,O,X51005444037,0.2475,0.7527,0.5192,0.7601,0.5434,0.0148
WWW.HOWWASIT4YOU-MY.NET,157,1933,555,1967,398,34,O,X51005444037,0.2233,0.771,0.5064,0.7778,0.5661,0.0136
A MEAL FOR YOU & 10 FRIENDS,123,1973,584,2012,461,39,O,X51005444037,0.175,0.787,0.5028,0.7948,0.6558,0.0156
IS UP FOR GRABS.,229,2017,500,2053,271,36,O,X51005444037,0.3257,0.8045,0.5185,0.8117,0.3855,0.0144
SURVEY CODE:MAL025,206,2098,521,2137,315,39,O,X51005444037,0.293,0.8369,0.5171,0.8446,0.4481,0.0156
T&C APPLY.,281,2142,444,2178,163,36,O,X51005444037,0.3997,0.8544,0.5156,0.8616,0.2319,0.0144
"FOR TAKE AWAY AND DELIVERY,",129,2223,590,2262,461,39,O,X51005444037,0.1835,0.8867,0.5114,0.8945,0.6558,0.0156
FOOD IS BEST CONSUMED WITHIN 2 HOURS,58,2261,670,2303,612,42,O,X51005444037,0.0825,0.9019,0.5178,0.9103,0.8706,0.0168
GSTSUMMARY,75,2388,248,2424,173,36,O,X51005444037,0.1067,0.9525,0.2297,0.9597,0.2461,0.0144
AMOUNT(RM),279,2388,448,2427,169,39,O,X51005444037,0.3969,0.9525,0.5171,0.9603,0.2404,0.0156
GST(RM),480,2388,604,2427,124,39,O,X51005444037,0.6828,0.9525,0.771,0.9603,0.1764,0.0156
S=GST @6%:,75,2431,245,2464,170,33,O,X51005444037,0.1067,0.9697,0.2276,0.9763,0.2418,0.0132
122.00,282,2432,381,2463,99,31,O,X51005444037,0.4011,0.9701,0.4716,0.9763,0.1408,0.0124
7.30,479,2431,551,2464,72,33,O,X51005444037,0.6814,0.9697,0.7326,0.9763,0.1024,0.0132
Z=GST @0%:,74,2470,249,2507,175,37,O,X51005444037,0.1053,0.9852,0.2297,0.9926,0.2489,0.0148
0.00,280,2472,347,2505,67,33,O,X51005444037,0.3983,0.986,0.4459,0.9926,0.0953,0.0132
0.00,481,2475,552,2504,71,29,O,X51005444037,0.6842,0.9872,0.7347,0.993,0.101,0.0116
99 SPEED MART S/B (519537-X),138,285,558,326,420,41,B-COMPANY,X51005444045,0.2091,0.2302,0.5273,0.2468,0.6364,0.0331
"LOT P.T. 2811, JALAN ANGSA,",153,328,560,375,407,47,B-ADDRESS,X51005444045,0.2318,0.2649,0.5402,0.2839,0.6167,0.038
TAMAN BERKELEY,244,370,456,405,212,35,I-ADDRESS,X51005444045,0.3697,0.2989,0.5303,0.313,0.3212,0.0283
"41150 KLANG, SELANGOR",196,410,515,449,319,39,I-ADDRESS,X51005444045,0.297,0.3312,0.5386,0.3469,0.4833,0.0315
1245-DESA SRI HARTAMAS,179,452,514,489,335,37,I-ADDRESS,X51005444045,0.2712,0.3651,0.525,0.38,0.5076,0.0299
GST ID. NO : 000181747712,165,491,546,532,381,41,O,X51005444045,0.25,0.3966,0.5386,0.4132,0.5773,0.0331
INVOICE NO : 18341/103/T0138,146,579,572,616,426,37,O,X51005444045,0.2212,0.4677,0.5439,0.4826,0.6455,0.0299
09:06PM,53,664,168,695,115,31,O,X51005444045,0.0803,0.5363,0.1674,0.5489,0.1742,0.025
569547,312,665,409,698,97,33,O,X51005444045,0.4727,0.5372,0.5462,0.5505,0.147,0.0267
19-03-18,541,670,658,701,117,31,B-DATE,X51005444045,0.8197,0.5412,0.9083,0.5537,0.1773,0.025
103 SUNQUICK OREN 840ML,57,742,403,781,346,39,O,X51005444045,0.0864,0.5994,0.3485,0.6151,0.5242,0.0315
RM11.40 S,520,745,660,783,140,38,O,X51005444045,0.7879,0.6018,0.8939,0.6171,0.2121,0.0307
TOTAL SALES (INCLUSIVE GST) RM,59,832,508,864,449,32,O,X51005444045,0.0894,0.6721,0.4295,0.685,0.6803,0.0258
11.40,548,830,629,864,81,34,O,X51005444045,0.8303,0.6704,0.8917,0.6842,0.1227,0.0275
CASH RM,397,873,509,907,112,34,O,X51005444045,0.6015,0.7052,0.6864,0.7189,0.1697,0.0275
11.40,549,870,625,905,76,35,B-TOTAL,X51005444045,0.8318,0.7027,0.8894,0.7169,0.1152,0.0283
CHANGE RM,366,909,507,944,141,35,O,X51005444045,0.5545,0.7342,0.6614,0.7484,0.2136,0.0283
.00,578,911,626,947,48,36,O,X51005444045,0.8758,0.7359,0.9121,0.7504,0.0727,0.0291
GST SUMMARY,56,994,223,1034,167,40,O,X51005444045,0.0848,0.8029,0.2114,0.8191,0.253,0.0323
AMOUNT(RM),293,993,448,1028,155,35,O,X51005444045,0.4439,0.8021,0.5614,0.8162,0.2348,0.0283
TAX(RM),535,994,643,1026,108,32,O,X51005444045,0.8106,0.8029,0.8924,0.8158,0.1636,0.0258
S = 6%,52,1040,150,1070,98,30,O,X51005444045,0.0788,0.8401,0.153,0.8522,0.1485,0.0242
10.75,371,1035,446,1067,75,32,O,X51005444045,0.5621,0.836,0.6189,0.8489,0.1136,0.0258
.65,589,1037,644,1069,55,32,O,X51005444045,0.8924,0.8376,0.9341,0.8506,0.0833,0.0258
THANK YOU. PLEASE COME AGAIN,125,1161,553,1198,428,37,O,X51005444045,0.1894,0.9378,0.5136,0.9527,0.6485,0.0299
KEEP THE INVOICE FOR APPLICABLE RETURNS,49,1204,641,1238,592,34,O,X51005444045,0.0742,0.9725,0.5227,0.9863,0.897,0.0275
PETRODELI ENTERPRISE,43,208,427,246,384,38,B-COMPANY,X51005447832,0.0768,0.1381,0.4196,0.1507,0.6857,0.0252
COMPANY NO: SA0127959-D,46,245,485,285,439,40,O,X51005447832,0.0821,0.1627,0.4741,0.176,0.7839,0.0266
SITE: 2395,46,284,237,316,191,32,O,X51005447832,0.0821,0.1886,0.2527,0.1992,0.3411,0.0212
"LOT 485,TMN LEMBAH KERAMAT",46,321,543,358,497,37,O,X51005447832,0.0821,0.2131,0.5259,0.2254,0.8875,0.0246
JLN ULU KELANG .,45,358,344,392,299,34,O,X51005447832,0.0804,0.2377,0.3473,0.249,0.5339,0.0226
54200 KUALA LUMPUR,44,395,392,428,348,33,B-ADDRESS,X51005447832,0.0786,0.2623,0.3893,0.2732,0.6214,0.0219
TELEPHONE: 03-41056485,45,431,464,467,419,36,O,X51005447832,0.0804,0.2862,0.4545,0.2981,0.7482,0.0239
GST NO: 000145047552,41,467,426,502,385,35,O,X51005447832,0.0732,0.3101,0.417,0.3217,0.6875,0.0232
INVOICE NUMBER: 60000152273,41,575,560,611,519,36,O,X51005447832,0.0732,0.3818,0.5366,0.3938,0.9268,0.0239
39.42 LITRE PUNP # 09,118,648,524,681,406,33,O,X51005447832,0.2107,0.4303,0.5732,0.4412,0.725,0.0219
FUELSAVE 95,42,682,253,716,211,34,O,X51005447832,0.075,0.4529,0.2634,0.4641,0.3768,0.0226
RM,332,686,367,715,35,29,O,X51005447832,0.5929,0.4555,0.6241,0.4651,0.0625,0.0193
85.54 C,429,687,560,717,131,30,O,X51005447832,0.7661,0.4562,0.883,0.4661,0.2339,0.0199
2.170,121,719,214,750,93,31,O,X51005447832,0.2161,0.4774,0.2991,0.4877,0.1661,0.0206
RM,254,720,291,749,37,29,O,X51005447832,0.4536,0.4781,0.4866,0.4877,0.0661,0.0193
/,329,720,350,754,21,34,O,X51005447832,0.5875,0.4781,0.6062,0.4894,0.0375,0.0226
LITRE,372,722,464,752,92,30,O,X51005447832,0.6643,0.4794,0.7464,0.4894,0.1643,0.0199
TOTAL,45,754,135,786,90,32,O,X51005447832,0.0804,0.5007,0.1607,0.5113,0.1607,0.0212
RM,330,757,367,787,37,30,O,X51005447832,0.5893,0.5027,0.6223,0.5126,0.0661,0.0199
85.54,427,755,520,789,93,34,B-TOTAL,X51005447832,0.7625,0.5013,0.8455,0.5126,0.1661,0.0226
VISA,43,791,118,822,75,31,O,X51005447832,0.0768,0.5252,0.1437,0.5355,0.1339,0.0206
RM,332,792,367,823,35,31,O,X51005447832,0.5929,0.5259,0.6241,0.5362,0.0625,0.0206
85.54,429,793,520,824,91,31,O,X51005447832,0.7661,0.5266,0.8473,0.5369,0.1625,0.0206
RELIEF GST,43,828,234,860,191,32,O,X51005447832,0.0768,0.5498,0.2473,0.5604,0.3411,0.0212
C,291,830,311,858,20,28,O,X51005447832,0.5196,0.5511,0.5375,0.5604,0.0357,0.0186
RM,332,829,367,860,35,31,O,X51005447832,0.5929,0.5505,0.6241,0.5608,0.0625,0.0206
0.00,446,829,521,861,75,32,O,X51005447832,0.7964,0.5505,0.8634,0.5611,0.1339,0.0212
TOTAL GROSS,41,862,253,896,212,34,O,X51005447832,0.0732,0.5724,0.2625,0.5837,0.3786,0.0226
C,292,863,312,894,20,31,O,X51005447832,0.5214,0.573,0.5393,0.5833,0.0357,0.0206
RM,332,864,367,894,35,30,O,X51005447832,0.5929,0.5737,0.6241,0.5837,0.0625,0.0199
85.54,428,865,520,897,92,32,O,X51005447832,0.7643,0.5744,0.8464,0.585,0.1643,0.0212
SHELL LOYALTY CARD,44,934,390,970,346,36,O,X51005447832,0.0786,0.6202,0.3875,0.6321,0.6179,0.0239
6018840059147765,44,970,351,1001,307,31,O,X51005447832,0.0786,0.6441,0.3527,0.6544,0.5482,0.0206
POINTS AWARDED:,42,1005,325,1038,283,33,O,X51005447832,0.075,0.6673,0.3277,0.6783,0.5054,0.0219
39,349,1006,388,1036,39,30,O,X51005447832,0.6232,0.668,0.658,0.678,0.0696,0.0199
DATE,43,1145,118,1176,75,31,O,X51005447832,0.0768,0.7603,0.1437,0.7706,0.1339,0.0206
TIME,217,1146,290,1179,73,33,O,X51005447832,0.3875,0.761,0.4527,0.7719,0.1304,0.0219
NUM,330,1147,386,1178,56,31,O,X51005447832,0.5893,0.7616,0.6393,0.7719,0.1,0.0206
OPT,448,1149,502,1180,54,31,O,X51005447832,0.8,0.7629,0.8482,0.7732,0.0964,0.0206
26/02/18,42,1181,194,1214,152,33,B-DATE,X51005447832,0.075,0.7842,0.2107,0.7952,0.2714,0.0219
08:28,218,1183,309,1213,91,30,O,X51005447832,0.3893,0.7855,0.4705,0.7955,0.1625,0.0199
10886,333,1185,427,1216,94,31,O,X51005447832,0.5946,0.7869,0.6786,0.7971,0.1679,0.0206
09,447,1184,482,1214,35,30,O,X51005447832,0.7982,0.7862,0.8295,0.7961,0.0625,0.0199
DIESEL & PETROL RON95,43,1287,445,1323,402,36,O,X51005447832,0.0768,0.8546,0.4357,0.8665,0.7179,0.0239
GIVEN RELIEF UNDER SECTION,43,1325,541,1362,498,37,O,X51005447832,0.0768,0.8798,0.5214,0.8921,0.8893,0.0246
56 (3) (B) GST ACT 2014,43,1359,481,1394,438,35,O,X51005447832,0.0768,0.9024,0.4679,0.914,0.7821,0.0232
THANK YOU,42,1426,214,1465,172,39,O,X51005447832,0.075,0.9469,0.2286,0.9598,0.3071,0.0259
PLEASE COME AGAIN,41,1463,367,1506,326,43,O,X51005447832,0.0732,0.9714,0.3643,0.9857,0.5821,0.0286
SUN WONG KUT SDN BHD,60,246,445,281,385,35,B-COMPANY,X51005447833,0.1036,0.1628,0.4361,0.1744,0.6649,0.0232
COMPANY NO: 20965-W,58,283,424,322,366,39,O,X51005447833,0.1002,0.1873,0.4162,0.2002,0.6321,0.0258
SITE: 1046,59,321,250,352,191,31,O,X51005447833,0.1019,0.2124,0.2668,0.2227,0.3299,0.0205
"176 JLN SUNGEI BESI,",60,355,437,390,377,35,O,X51005447833,0.1036,0.2349,0.4292,0.2465,0.6511,0.0232
57100 KUALA LUMPUR.,60,393,415,423,355,30,B-ADDRESS,X51005447833,0.1036,0.2601,0.4102,0.27,0.6131,0.0199
TELEPHONE: 03-9221345,56,429,467,467,411,38,O,X51005447833,0.0967,0.2839,0.4516,0.2965,0.7098,0.0251
GST NO: 001580630016,58,465,444,501,386,36,O,X51005447833,0.1002,0.3077,0.4335,0.3197,0.6667,0.0238
INVOICE NUMBER 60000483942,60,573,579,609,519,36,O,X51005447833,0.1036,0.3792,0.5518,0.3911,0.8964,0.0238
39.54,134,645,229,681,95,36,O,X51005447833,0.2314,0.4269,0.3135,0.4388,0.1641,0.0238
39.54 LITRE PUMP # 07,133,641,540,685,407,44,O,X51005447833,0.2297,0.4242,0.5812,0.4388,0.7029,0.0291
FUEL SAVE 95,57,678,272,715,215,37,O,X51005447833,0.0984,0.4487,0.2841,0.461,0.3713,0.0245
RM,347,683,386,714,39,31,O,X51005447833,0.5993,0.452,0.633,0.4623,0.0674,0.0205
88.17 C,445,684,577,719,132,35,O,X51005447833,0.7686,0.4527,0.8826,0.4643,0.228,0.0232
2.230,138,718,233,749,95,31,O,X51005447833,0.2383,0.4752,0.3204,0.4854,0.1641,0.0205
RM,269,716,310,750,41,34,O,X51005447833,0.4646,0.4739,0.5,0.4851,0.0708,0.0225
/,347,720,365,749,18,29,O,X51005447833,0.5993,0.4765,0.6149,0.4861,0.0311,0.0192
LITRE,389,721,481,750,92,29,O,X51005447833,0.6718,0.4772,0.7513,0.4868,0.1589,0.0192
TOTAL,60,751,149,787,89,36,O,X51005447833,0.1036,0.497,0.1805,0.5089,0.1537,0.0238
RM,349,757,385,786,36,29,O,X51005447833,0.6028,0.501,0.6339,0.5106,0.0622,0.0192
88.17,446,756,538,789,92,33,B-TOTAL,X51005447833,0.7703,0.5003,0.8497,0.5113,0.1589,0.0218
VISA,61,789,138,824,77,35,O,X51005447833,0.1054,0.5222,0.1718,0.5338,0.133,0.0232
RM,348,792,386,822,38,30,O,X51005447833,0.601,0.5242,0.6339,0.5341,0.0656,0.0199
88.17,446,791,538,822,92,31,O,X51005447833,0.7703,0.5235,0.8497,0.5338,0.1589,0.0205
RELIEF GST,60,827,249,861,189,34,O,X51005447833,0.1036,0.5473,0.2668,0.5586,0.3264,0.0225
C,307,829,331,856,24,27,O,X51005447833,0.5302,0.5486,0.5509,0.5576,0.0415,0.0179
RM,348,828,385,859,37,31,O,X51005447833,0.601,0.548,0.633,0.5582,0.0639,0.0205
0.00,462,828,543,857,81,29,O,X51005447833,0.7979,0.548,0.8679,0.5576,0.1399,0.0192
TOTAL GROSS,61,860,271,897,210,37,O,X51005447833,0.1054,0.5692,0.2867,0.5814,0.3627,0.0245
C,309,865,328,892,19,27,O,X51005447833,0.5337,0.5725,0.5501,0.5814,0.0328,0.0179
RM,347,861,385,895,38,34,O,X51005447833,0.5993,0.5698,0.6321,0.5811,0.0656,0.0225
88.17,443,863,537,894,94,31,O,X51005447833,0.7651,0.5711,0.8463,0.5814,0.1623,0.0205
SHELL LOYALTY CARD,55,930,405,969,350,39,O,X51005447833,0.095,0.6155,0.3972,0.6284,0.6045,0.0258
6018840059147765,56,968,370,1002,314,34,O,X51005447833,0.0967,0.6406,0.3679,0.6519,0.5423,0.0225
POINTS AWARDED: 39,59,1004,406,1037,347,33,O,X51005447833,0.1019,0.6645,0.4016,0.6754,0.5993,0.0218
DATE,59,1145,136,1176,77,31,O,X51005447833,0.1019,0.7578,0.1684,0.768,0.133,0.0205
TIME,234,1146,308,1177,74,31,O,X51005447833,0.4041,0.7584,0.468,0.7687,0.1278,0.0205
NUN,346,1147,405,1178,59,31,O,X51005447833,0.5976,0.7591,0.6485,0.7694,0.1019,0.0205
OPT,464,1145,517,1179,53,34,O,X51005447833,0.8014,0.7578,0.8472,0.769,0.0915,0.0225
21/02/18,60,1183,211,1214,151,31,B-DATE,X51005447833,0.1036,0.7829,0.234,0.7932,0.2608,0.0205
11:19,236,1185,325,1216,89,31,O,X51005447833,0.4076,0.7842,0.4845,0.7945,0.1537,0.0205
40278 07,350,1186,500,1216,150,30,O,X51005447833,0.6045,0.7849,0.734,0.7948,0.2591,0.0199
DIESEL & PETROL RON95,57,1289,461,1325,404,36,O,X51005447833,0.0984,0.8531,0.4473,0.865,0.6978,0.0238
GIVEN RELIEF UNDER SECTION,59,1325,559,1364,500,39,O,X51005447833,0.1019,0.8769,0.5337,0.8898,0.8636,0.0258
56 (3) (B) GST ACT 2014,57,1361,503,1397,446,36,O,X51005447833,0.0984,0.9007,0.4836,0.9126,0.7703,0.0238
THANK YOU,61,1433,234,1471,173,38,O,X51005447833,0.1054,0.9484,0.2547,0.961,0.2988,0.0251
PLEASE COME AGAIN,56,1468,386,1511,330,43,O,X51005447833,0.0967,0.9715,0.3817,0.9858,0.5699,0.0285
RESTAURANT JIAWEI,257,166,683,215,426,49,B-COMPANY,X51005447839,0.2907,0.0998,0.5317,0.1145,0.4819,0.0294
JIAWEI HOUSE,316,219,613,259,297,40,O,X51005447839,0.3575,0.1316,0.5255,0.1436,0.336,0.024
002693074-K,337,264,616,313,279,49,O,X51005447839,0.3812,0.1587,0.539,0.1734,0.3156,0.0294
"13, JLN TASIK UTAMA 8",235,314,677,353,442,39,B-ADDRESS,X51005447839,0.2658,0.1887,0.5158,0.2004,0.5,0.0234
MEDAN NIAGA DAMAI SG BESI,193,355,714,396,521,41,I-ADDRESS,X51005447839,0.2183,0.2133,0.513,0.2257,0.5894,0.0246
57000 KL,365,401,535,440,170,39,I-ADDRESS,X51005447839,0.4129,0.241,0.509,0.2527,0.1923,0.0234
INVOICE,390,467,568,508,178,41,O,X51005447839,0.4412,0.2806,0.5419,0.293,0.2014,0.0246
INVOICE :9820,41,588,305,626,264,38,O,X51005447839,0.0464,0.3534,0.1957,0.3648,0.2986,0.0228
65.20,689,1607,878,1664,189,57,O,X51005447839,0.7794,0.9657,0.8863,0.9829,0.2138,0.0343
CASHIER : ADMIN,448,588,716,631,268,43,O,X51005447839,0.5068,0.3534,0.6584,0.3663,0.3032,0.0258
POS NO : 1,32,627,202,663,170,36,O,X51005447839,0.0362,0.3768,0.1324,0.3876,0.1923,0.0216
DATE : 9/3/2018 20:54:50,34,669,543,710,509,41,B-DATE,X51005447839,0.0385,0.402,0.3264,0.4144,0.5758,0.0246
TABLE,34,718,243,781,209,63,O,X51005447839,0.0385,0.4315,0.1567,0.4504,0.2364,0.0379
:,336,739,357,783,21,44,O,X51005447839,0.3801,0.4441,0.392,0.4573,0.0238,0.0264
16,414,722,493,783,79,61,O,X51005447839,0.4683,0.4339,0.513,0.4522,0.0894,0.0367
ITEM,78,839,154,869,76,30,O,X51005447839,0.0882,0.5042,0.1312,0.5132,0.086,0.018
QTY,282,837,345,873,63,36,O,X51005447839,0.319,0.503,0.3546,0.5138,0.0713,0.0216
U/P (RM),401,839,527,871,126,32,O,X51005447839,0.4536,0.5042,0.5249,0.5138,0.1425,0.0192
DISC (%),572,835,704,874,132,39,O,X51005447839,0.6471,0.5018,0.7217,0.5135,0.1493,0.0234
AMT (RM),740,836,875,872,135,36,O,X51005447839,0.8371,0.5024,0.9135,0.5132,0.1527,0.0216
B. BEAN BITTERGROUND FISH HEAD (S),75,915,758,954,683,39,O,X51005447839,0.0848,0.5499,0.4712,0.5616,0.7726,0.0234
1,470,959,492,993,22,34,B-ADDRESS,X51005447839,0.5317,0.5763,0.5441,0.5865,0.0249,0.0204
35.00,570,959,676,992,106,33,O,X51005447839,0.6448,0.5763,0.7048,0.5862,0.1199,0.0198
0.00,777,959,861,993,84,34,O,X51005447839,0.879,0.5763,0.9265,0.5865,0.095,0.0204
F. HONG KONG SAUTEED (S),75,998,547,1034,472,36,O,X51005447839,0.0848,0.5998,0.3518,0.6106,0.5339,0.0216
1,472,1043,489,1073,17,30,B-ADDRESS,X51005447839,0.5339,0.6268,0.5436,0.6358,0.0192,0.018
16.00,574,1043,675,1073,101,30,O,X51005447839,0.6493,0.6268,0.7064,0.6358,0.1143,0.018
0.00,780,1042,861,1073,81,31,O,X51005447839,0.8824,0.6262,0.9282,0.6355,0.0916,0.0186
STEAMED EGG (S),75,1081,364,1119,289,38,O,X51005447839,0.0848,0.6496,0.2483,0.6611,0.3269,0.0228
1,430,1125,447,1155,17,30,B-ADDRESS,X51005447839,0.4864,0.6761,0.496,0.6851,0.0192,0.018
10.00,537,1121,644,1155,107,34,O,X51005447839,0.6075,0.6737,0.668,0.6839,0.121,0.0204
0.00,736,1124,821,1156,85,32,O,X51005447839,0.8326,0.6755,0.8807,0.6851,0.0962,0.0192
CHINESE TEA,77,1165,305,1201,228,36,O,X51005447839,0.0871,0.7001,0.2161,0.7109,0.2579,0.0216
2,325,1203,346,1239,21,36,O,X51005447839,0.3676,0.723,0.3795,0.7338,0.0238,0.0216
0.60,447,1208,534,1240,87,32,O,X51005447839,0.5057,0.726,0.5549,0.7356,0.0984,0.0192
0.00,634,1206,717,1239,83,33,O,X51005447839,0.7172,0.7248,0.7641,0.7347,0.0939,0.0198
1.20,801,1208,884,1244,83,36,O,X51005447839,0.9061,0.726,0.9531,0.7368,0.0939,0.0216
COLD,138,1247,219,1278,81,31,O,X51005447839,0.1561,0.7494,0.2019,0.7587,0.0916,0.0186
RICE (B),75,1285,235,1325,160,40,O,X51005447839,0.0848,0.7722,0.1753,0.7843,0.181,0.024
2,388,1329,410,1364,22,35,O,X51005447839,0.4389,0.7987,0.4514,0.8092,0.0249,0.021
1.50,511,1330,596,1362,85,32,O,X51005447839,0.5781,0.7993,0.6261,0.8089,0.0962,0.0192
0.00,692,1330,781,1363,89,33,O,X51005447839,0.7828,0.7993,0.8331,0.8092,0.1007,0.0198
3,860,1330,883,1363,23,33,B-ADDRESS,X51005447839,0.9729,0.7993,0.9859,0.8092,0.026,0.0198
SUB TOTAL BEFORE DISCOUNT,115,1408,638,1448,523,40,O,X51005447839,0.1301,0.8462,0.4259,0.8582,0.5916,0.024
RM 65.20,691,1407,865,1446,174,39,O,X51005447839,0.7817,0.8456,0.8801,0.8573,0.1968,0.0234
SERVICE CHARGE,120,1454,410,1491,290,37,O,X51005447839,0.1357,0.8738,0.2998,0.8849,0.3281,0.0222
RM 0.00,714,1454,860,1486,146,32,O,X51005447839,0.8077,0.8738,0.8903,0.8834,0.1652,0.0192
TOTAL SALES,122,1494,351,1530,229,36,O,X51005447839,0.138,0.8978,0.2675,0.9087,0.259,0.0216
RM 65.20,695,1494,863,1529,168,35,B-TOTAL,X51005447839,0.7862,0.8978,0.8812,0.9084,0.19,0.021
ROUNDING ADJUSTMENT :,116,1532,551,1572,435,40,O,X51005447839,0.1312,0.9207,0.3773,0.9327,0.4921,0.024
RM 0.00,714,1534,862,1568,148,34,O,X51005447839,0.8077,0.9219,0.8914,0.9321,0.1674,0.0204
TOTAL,115,1606,304,1659,189,53,O,X51005447839,0.1301,0.9651,0.237,0.9811,0.2138,0.0319
RM,572,1604,648,1660,76,56,O,X51005447839,0.6471,0.9639,0.69,0.9808,0.086,0.0337
PASARAYA BORONG PINTAR,126,185,826,233,700,48,B-COMPANY,X51005447840,0.1457,0.0901,0.5503,0.1018,0.8092,0.0234
SDN BHD,357,245,592,291,235,46,O,X51005447840,0.4127,0.1193,0.5486,0.1305,0.2717,0.0224
BR NO. :(124525-H),308,304,651,348,343,44,O,X51005447840,0.3561,0.1481,0.5543,0.1588,0.3965,0.0214
"NO 19-G& 19-1& 19-2 JALAN TASIK UTAMA 4,",118,346,836,387,718,41,B-ADDRESS,X51005447840,0.1364,0.1685,0.5514,0.1785,0.8301,0.02
MEDAN NIAGA TASIK DAMAI,248,386,707,428,459,42,I-ADDRESS,X51005447840,0.2867,0.188,0.552,0.1982,0.5306,0.0205
016-5498845,361,448,577,476,216,28,O,X51005447840,0.4173,0.2182,0.5422,0.225,0.2497,0.0136
GST NO.:,403,497,562,535,159,38,O,X51005447840,0.4659,0.2421,0.5578,0.2513,0.1838,0.0185
14/03/2018 5:57:07PM,280,581,673,616,393,35,B-DATE,X51005447840,0.3237,0.283,0.5509,0.2915,0.4543,0.017
TAX INVOICE,267,637,693,693,426,56,O,X51005447840,0.3087,0.3103,0.5549,0.3239,0.4925,0.0273
TRN: CR0008964,92,701,499,753,407,52,O,X51005447840,0.1064,0.3415,0.3416,0.3541,0.4705,0.0253
COUNTER 3,88,779,341,819,253,40,O,X51005447840,0.1017,0.3794,0.248,0.3892,0.2925,0.0195
CASHIER: 1,628,781,854,816,226,35,O,X51005447840,0.726,0.3804,0.8566,0.3889,0.2613,0.017
QTY UOM,92,860,273,898,181,38,O,X51005447840,0.1064,0.4189,0.211,0.4282,0.2092,0.0185
UNIT AMT EXC. AMT INC. GST,355,864,861,899,506,35,O,X51005447840,0.4104,0.4208,0.7029,0.4294,0.585,0.017
PRICE,350,903,447,941,97,38,O,X51005447840,0.4046,0.4398,0.4607,0.4491,0.1121,0.0185
TAX,546,906,607,945,61,39,O,X51005447840,0.6312,0.4413,0.6665,0.4508,0.0705,0.019
TAX CODE,706,904,865,941,159,37,O,X51005447840,0.8162,0.4403,0.9081,0.4493,0.1838,0.018
WALL'S TOPTEN CHOCOLATE 73ML,85,969,771,1005,686,36,O,X51005447840,0.0983,0.472,0.4948,0.4808,0.7931,0.0175
1,102,1018,125,1052,23,34,B-ADDRESS,X51005447840,0.1179,0.4959,0.1312,0.5041,0.0266,0.0166
WALK,174,1017,284,1052,110,35,O,X51005447840,0.2012,0.4954,0.2647,0.5039,0.1272,0.017
1.60,367,1022,440,1053,73,31,O,X51005447840,0.4243,0.4978,0.4665,0.5054,0.0844,0.0151
1.60,526,1020,609,1056,83,36,O,X51005447840,0.6081,0.4968,0.6561,0.5056,0.096,0.0175
1.60,692,1020,762,1055,70,35,O,X51005447840,0.8,0.4968,0.8405,0.5054,0.0809,0.017
ZRL,789,1022,859,1053,70,31,O,X51005447840,0.9121,0.4978,0.9526,0.5054,0.0809,0.0151
WALL'S TOPTEN CHOCOLATE 73ML,90,1079,766,1121,676,42,O,X51005447840,0.104,0.5256,0.4948,0.5358,0.7815,0.0205
